Time (s),Channel 1 (V),Channel 2 (V)
-5,0.5931421922153292,0.56139982675085
-4.99875,0.5968216633062791,0.5624135448588712
-4.9975,0.5968216633062791,0.5637651690028999
-4.99625,0.5968216633062791,0.5647788871109205
-4.995,0.6005011343972289,0.5661305112549487
-4.99375,0.6005011343972289,0.5671442293629695
-4.9925,0.6005011343972289,0.5681579474709911
-4.99125,0.6005011343972289,0.5691716655790123
-4.99,0.6041806054881786,0.5701853836870334
-4.98875,0.6041806054881803,0.5711991017950553
-4.9875,0.6078600765791285,0.5725507259390828
-4.98625,0.6078600765791285,0.5739023500831111
-4.985,0.6078600765791285,0.5749160681911318
-4.98375,0.6078600765791302,0.576267692335161
-4.9825,0.6115395476700785,0.5772814104431816
-4.98125,0.6115395476700785,0.5779572225151958
-4.98,0.6115395476700785,0.5793088466592233
-4.97875,0.6152190187610282,0.5803225647672452
-4.9775,0.6152190187610282,0.5816741889112734
-4.97625,0.6152190187610282,0.5826879070192945
-4.975,0.618898489851978,0.5837016251273162
-4.97375,0.618898489851978,0.5847153432353369
-4.9725,0.618898489851978,0.5860669673793651
-4.97125,0.618898489851978,0.5867427794513789
-4.97,0.6225779609429279,0.5877564975594004
-4.96875,0.6225779609429279,0.5887702156674216
-4.9675,0.6262574320338778,0.5901218398114498
-4.96625,0.6262574320338778,0.5911355579194714
-4.965,0.6262574320338778,0.5921492760274921
-4.96375,0.6299369031248276,0.5935009001715204
-4.9625,0.6299369031248276,0.5948525243155479
-4.96125,0.6299369031248276,0.5958662424235698
-4.96,0.6299369031248276,0.5965420544955838
-4.95875,0.6336163742157774,0.597555772603605
-4.9575,0.6336163742157791,0.5989073967476337
-4.95625,0.6372958453067273,0.5999211148556545
-4.955,0.6372958453067273,0.6012727389996827
-4.95375,0.6372958453067273,0.6026243631437103
-4.9525,0.6409753163976772,0.6036380812517327
-4.95125,0.6409753163976772,0.6049897053957602
-4.95,0.6409753163976772,0.6060034235037814
-4.94875,0.6446547874886254,0.6066792355757953
-4.9475,0.644654787488627,0.6080308597198238
-4.94625,0.644654787488627,0.6090445778278449
-4.945,0.644654787488627,0.6100582959358661
-4.94375,0.6483342585795768,0.6114099200798948
-4.9425,0.6483342585795768,0.6124236381879156
-4.94125,0.6483342585795768,0.6137752623319438
-4.94,0.652013729670525,0.6147889804399644
-4.93875,0.6520137296705266,0.6154647925119791
-4.9375,0.6520137296705266,0.6164785106200003
-4.93625,0.6556932007614765,0.6178301347640285
-4.935,0.6556932007614782,0.6188438528720502
-4.93375,0.6593726718524264,0.6201954770160778
-4.9325,0.6593726718524264,0.621209195124099
-4.93125,0.6593726718524264,0.6225608192681266
-4.93,0.6630521429433762,0.6235745373761484
-4.92875,0.6630521429433762,0.6242503494481625
-4.9275,0.6630521429433762,0.6252640675561837
-4.92625,0.666731614034326,0.6262777856642056
-4.925,0.666731614034326,0.6276294098082331
-4.92375,0.666731614034326,0.6286431279162542
-4.9225,0.666731614034326,0.6299947520602818
-4.92125,0.6704110851252759,0.6310084701683043
-4.92,0.6704110851252759,0.6323600943123319
-4.91875,0.6704110851252759,0.6333738124203531
-4.9175,0.6704110851252759,0.6340496244923668
-4.91625,0.6740905562162258,0.6350633426003883
-4.915,0.6740905562162258,0.6364149667444166
-4.91375,0.6777700273071756,0.6374286848524378
-4.9125,0.6777700273071756,0.6384424029604596
-4.91125,0.6777700273071756,0.6397940271044871
-4.91,0.6814494983981254,0.6411456512485153
-4.90875,0.6814494983981254,0.6421593693565361
-4.9075,0.6814494983981254,0.6435109935005647
-4.90625,0.6851289694890753,0.6441868055725789
-4.905,0.6851289694890753,0.6452005236806
-4.90375,0.685128969489077,0.6465521478246287
-4.9025,0.6888084405800252,0.6475658659326494
-4.90125,0.6888084405800252,0.6489174900766776
-4.9,0.6924879116709733,0.6499312081846984
-4.89875,0.692487911670975,0.65094492629272
-4.8975,0.692487911670975,0.6519586444007411
-4.89625,0.692487911670975,0.6526344564727553
-4.895,0.6961673827619248,0.653986080616784
-4.89375,0.6961673827619248,0.6549997987248046
-4.8925,0.6961673827619248,0.6563514228688329
-4.89125,0.699846853852873,0.6573651409768536
-4.89,0.6998468538528764,0.6587167651208827
-4.88875,0.7035263249438246,0.6597304832289035
-4.8875,0.7035263249438246,0.6610821073729317
-4.88625,0.7035263249438246,0.6617579194449454
-4.885,0.7035263249438246,0.6624337315169599
-4.88375,0.7035263249438246,0.6637853556609882
-4.8825,0.7072057960347744,0.6647990737690094
-4.88125,0.7072057960347744,0.6658127918770311
-4.88,0.7072057960347744,0.6671644160210587
-4.87875,0.7108852671257242,0.6685160401650869
-4.8775,0.7108852671257242,0.6695297582731077
-4.87625,0.7145647382166741,0.6705434763811293
-4.875,0.7145647382166741,0.6715571944891504
-4.87375,0.7145647382166741,0.6722330065611646
-4.8725,0.7145647382166758,0.6735846307051933
-4.87125,0.718244209307624,0.674598348813214
-4.87,0.718244209307624,0.6756120669212351
-4.86875,0.7219236803985721,0.6769636910652627
-4.8675,0.7219236803985738,0.6779774091732845
-4.86625,0.7219236803985738,0.6793290333173128
-4.865,0.7256031514895236,0.6800048453893268
-4.86375,0.7256031514895236,0.6810185634973487
-4.8625,0.7256031514895236,0.6823701876413762
-4.86125,0.7292826225804734,0.6833839057493974
-4.86,0.7292826225804734,0.684735529893425
-4.85875,0.7292826225804734,0.6860871540374543
-4.8575,0.7292826225804734,0.6871008721454751
-4.85625,0.7329620936714233,0.6884524962895033
-4.855,0.7329620936714233,0.689466214397524
-4.85375,0.7329620936714233,0.6901420264695386
-4.8525,0.7366415647623732,0.6911557445775598
-4.85125,0.7366415647623732,0.6921694626855809
-4.85,0.7366415647623749,0.6935210868296096
-4.84875,0.740321035853323,0.6945348049376303
-4.8475,0.740321035853323,0.6958864290816585
-4.84625,0.740321035853323,0.6969001471896793
-4.845,0.7440005069442728,0.698251771333708
-4.84375,0.7440005069442728,0.698927583405722
-4.8425,0.7440005069442728,0.6999413015137432
-4.84125,0.7440005069442744,0.7009550196217651
-4.84,0.7476799780352227,0.7023066437657927
-4.83875,0.7476799780352227,0.7033203618738137
-4.8375,0.7476799780352227,0.7046719860178413
-4.83625,0.7513594491261726,0.7056857041258632
-4.835,0.7513594491261726,0.7070373282698914
-4.83375,0.7550389202171224,0.7080510463779126
-4.8325,0.7550389202171224,0.7087268584499271
-4.83125,0.7550389202171224,0.7097405765579479
-4.83,0.7587183913080722,0.7107542946659691
-4.82875,0.7587183913080722,0.7117680127739897
-4.8275,0.7587183913080722,0.7131196369180188
-4.82625,0.7587183913080722,0.7141333550260396
-4.825,0.7623978623990221,0.7154849791700678
-4.82375,0.7623978623990221,0.7164986972780886
-4.8225,0.7623978623990221,0.7171745093501031
-4.82125,0.766077333489972,0.7181882274581243
-4.82,0.766077333489972,0.7192019455661455
-4.81875,0.7660773334899736,0.7205535697101741
-4.8175,0.7697568045809218,0.7215672878181948
-4.81625,0.7697568045809218,0.722918911962223
-4.815,0.7697568045809218,0.7239326300702438
-4.81375,0.7734362756718716,0.7252842542142725
-4.8125,0.7734362756718716,0.7262979723222937
-4.81125,0.7734362756718716,0.7269737843943077
-4.81,0.7734362756718732,0.7279875025023296
-4.80875,0.7771157467628215,0.7293391266463571
-4.8075,0.7771157467628215,0.7303528447543783
-4.80625,0.7807952178537697,0.7320423749344128
-4.805,0.7807952178537714,0.7327181870064277
-4.80375,0.7844746889447212,0.7340698111504559
-4.8025,0.7844746889447212,0.7350835292584771
-4.80125,0.7844746889447212,0.7364351534025054
-4.8,0.7844746889447212,0.7367730594385123
-4.79875,0.788154160035671,0.7381246835825406
-4.7975,0.788154160035671,0.7391384016905613
-4.79625,0.7881541600356726,0.7401521197985836
-4.795,0.7918336311266209,0.7415037439426112
-4.79375,0.7918336311266209,0.7428553680866394
-4.7925,0.7918336311266209,0.7438690861946602
-4.79125,0.7955131022175707,0.7448828043026817
-4.79,0.7955131022175707,0.7458965224107029
-4.78875,0.7955131022175707,0.7469102405187241
-4.7875,0.7955131022175723,0.7479239586267457
-4.78625,0.7991925733085206,0.7489376767347664
-4.785,0.7991925733085206,0.7502893008787946
-4.78375,0.7991925733085206,0.7513030189868154
-4.7825,0.8028720443994704,0.752316737094837
-4.78125,0.8028720443994704,0.7536683612388653
-4.78,0.8065515154904203,0.7543441733108793
-4.77875,0.8065515154904219,0.755357891418901
-4.7775,0.81023098658137,0.7563716095269217
-4.77625,0.81023098658137,0.75772323367095
-4.775,0.81023098658137,0.7587369517789706
-4.77375,0.81023098658137,0.7600885759229993
-4.7725,0.81391045767232,0.7611022940310205
-4.77125,0.81391045767232,0.7621160121390417
-4.77,0.8175899287632697,0.7631297302470631
-4.76875,0.8175899287632697,0.7638055423190769
-4.7675,0.8175899287632697,0.7651571664631052
-4.76625,0.821269399854218,0.7661708845711259
-4.765,0.8212693998542197,0.767522508715155
-4.76375,0.8212693998542197,0.7685362268231757
-4.7625,0.8249488709451694,0.7698878509672039
-4.76125,0.8249488709451694,0.7709015690752247
-4.76,0.8249488709451694,0.7719152871832463
-4.75875,0.8286283420361193,0.7732669113272745
-4.7575,0.8286283420361193,0.7739427233992886
-4.75625,0.828628342036121,0.7749564415073105
-4.755,0.8323078131270691,0.776308065651338
-4.75375,0.8323078131270691,0.7776596897953663
-4.7525,0.8323078131270691,0.778673407903387
-4.75125,0.8359872842180189,0.7796871260114085
-4.75,0.8359872842180189,0.7810387501554368
-4.74875,0.8359872842180189,0.7817145622274509
-4.7475,0.8359872842180206,0.7827282803354725
-4.74625,0.8396667553089688,0.7834040924074862
-4.745,0.8396667553089688,0.7847557165515144
-4.74375,0.8396667553089688,0.786107340695542
-4.7425,0.8433462263999187,0.7871210588035639
-4.74125,0.8433462263999187,0.7884726829475921
-4.74,0.8470256974908685,0.7894864010556132
-4.73875,0.8470256974908685,0.7905001191636347
-4.7375,0.8470256974908685,0.7911759312356486
-4.73625,0.8470256974908685,0.7921896493436696
-4.735,0.8507051685818167,0.7932033674516904
-4.73375,0.8507051685818183,0.7945549915957195
-4.7325,0.8507051685818183,0.7955687097037403
-4.73125,0.8543846396727682,0.7965824278117615
-4.73,0.8543846396727682,0.797934051955789
-4.72875,0.8543846396727682,0.7989477700638108
-4.7275,0.8580641107637181,0.800299394207839
-4.72625,0.8580641107637181,0.8009752062798532
-4.725,0.8580641107637181,0.8019889243878747
-4.72375,0.8580641107637181,0.8030026424958955
-4.7225,0.8617435818546679,0.8043542666399237
-4.72125,0.8617435818546679,0.8053679847479445
-4.72,0.8617435818546679,0.8063817028559661
-4.71875,0.8654230529456177,0.8077333269999943
-4.7175,0.8654230529456177,0.8087470451080154
-4.71625,0.8654230529456194,0.809760763216037
-4.715,0.8691025240365676,0.8104365752880508
-4.71375,0.8691025240365676,0.8117881994320789
-4.7125,0.8691025240365676,0.8128019175400997
-4.71125,0.8727819951275174,0.8138156356481213
-4.71,0.8727819951275174,0.8151672597921495
-4.70875,0.8727819951275174,0.8165188839361778
-4.7075,0.8764614662184673,0.8175326020441994
-4.70625,0.8764614662184673,0.8185463201522201
-4.705,0.8764614662184673,0.8192221322242342
-4.70375,0.8801409373094154,0.8205737563682618
-4.7025,0.8801409373094171,0.8215874744762843
-4.70125,0.8801409373094171,0.8229390986203119
-4.7,0.883820408400367,0.823952816728333
-4.69875,0.883820408400367,0.8249665348363537
-4.6975,0.883820408400367,0.8259802529443754
-4.69625,0.883820408400367,0.8273318770884036
-4.695,0.8874998794913168,0.8280076891604177
-4.69375,0.8874998794913168,0.8290214072684395
-4.6925,0.8874998794913168,0.8303730314124671
-4.69125,0.8911793505822667,0.8313867495204883
-4.69,0.8911793505822667,0.8324004676285089
-4.68875,0.8911793505822667,0.8337520917725376
-4.6875,0.8948588216732165,0.8347658098805588
-4.68625,0.8948588216732165,0.83577952798858
-4.685,0.8985382927641664,0.8367932460966016
-4.68375,0.8985382927641664,0.8374690581686153
-4.6825,0.8985382927641664,0.8384827762766365
-4.68125,0.8985382927641664,0.8394964943846571
-4.68,0.9022177638551162,0.8408481185286858
-4.67875,0.9022177638551162,0.841861836636707
-4.6775,0.9058972349460661,0.8432134607807352
-4.67625,0.9058972349460661,0.8442271788887569
-4.675,0.9058972349460661,0.8452408969967776
-4.67375,0.9058972349460661,0.8459167090687917
-4.6725,0.9095767060370142,0.8472683332128192
-4.67125,0.9095767060370159,0.8482820513208416
-4.67,0.9095767060370159,0.8492957694288623
-4.66875,0.9132561771279657,0.8503094875368834
-4.6675,0.9132561771279657,0.851661111680911
-4.66625,0.9132561771279657,0.8526748297889328
-4.665,0.9169356482189156,0.8540264539329611
-4.66375,0.9169356482189156,0.8550401720409823
-4.6625,0.9169356482189156,0.8557159841129968
-4.66125,0.9169356482189156,0.8567297022210175
-4.66,0.9206151193098655,0.8580813263650457
-4.65875,0.9206151193098655,0.8590950444730665
-4.6575,0.9242945904008153,0.860108762581088
-4.65625,0.9242945904008153,0.8614603867251163
-4.655,0.9279740614917651,0.8624741048331375
-4.65375,0.9279740614917651,0.8638257289771661
-4.6525,0.9279740614917651,0.8648394470851869
-4.65125,0.9279740614917651,0.865515259157201
-4.65,0.9316535325827133,0.8665289772652217
-4.64875,0.931653532582715,0.8678806014092504
-4.6475,0.931653532582715,0.8688943195172716
-4.64625,0.9353330036736648,0.8699080376252927
-4.645,0.9353330036736648,0.8712596617693213
-4.64375,0.9353330036736648,0.8722733798773421
-4.6425,0.9390124747646147,0.8732870979853633
-4.64125,0.9390124747646147,0.8743008160933841
-4.64,0.9390124747646147,0.8749766281653992
-4.63875,0.9390124747646147,0.8763282523094268
-4.6375,0.9426919458555645,0.877341970417448
-4.63625,0.9426919458555645,0.8783556885254686
-4.635,0.9426919458555645,0.8793694066334903
-4.63375,0.9426919458555645,0.8803831247415115
-4.6325,0.9463714169465144,0.8813968428495327
-4.63125,0.9463714169465161,0.8824105609575542
-4.63,0.9500508880374642,0.883424279065575
-4.62875,0.9500508880374642,0.8844379971735962
-4.6275,0.9500508880374642,0.8854517152816169
-4.62625,0.9537303591284141,0.8868033394256456
-4.625,0.9537303591284141,0.8878170575336667
-4.62375,0.9537303591284141,0.8888307756416879
