Frequency (Hz),Channel 1 (V),Phase (deg)
0,1.224202835457432,-179.9999999999995
0.08906305664410402,1.181995419825392,0.1188471944716643
0.178126113288208,0.7901976308525114,-179.7248978855426
0.2671891699323121,0.2373418907497042,0.7425574867410261
0.3562522265764161,0.0172809813288743,-176.3497877825166
0.4453152832205201,0.0003740583486357097,-36.09195669569344
0.5343783398646242,0.0003197870810961576,90.95345532929719
0.6234413965087282,5.960810635508954e-05,-138.160667125056
0.7125044531528322,0.0001863453619442196,161.855333934729
0.8015675097969361,0.0004906779107548251,-55.54171802719234
0.8906305664410402,0.0008831197522026818,102.0892952732055
0.9796936230851443,0.001360268510207033,-85.65255623842354
1.068756679729248,0.00156366758971446,95.68005478512018
1.157819736373352,0.001340446585031293,-84.41952796860826
1.246882793017456,0.000920187200272188,89.69877763352996
1.33594584966156,0.0003447447242135786,-85.397822519603
1.425008906305664,8.260890864993957e-05,-159.7239651235477
1.514071962949769,6.217719418339325e-05,123.0242617283705
1.603135019593872,8.040603086612178e-05,-14.73744429238374
1.692198076237976,3.359414330763115e-05,-179.3556703707304
1.78126113288208,5.589711906272455e-05,-22.77669960321168
1.870324189526184,0.000174431923865426,144.0004951018419
1.959387246170289,0.0003433072858851813,-40.44699850417
2.048450302814393,0.0004987105657177499,132.224584856371
2.137513359458497,0.0005841416586061912,-52.53730498902717
2.2265764161026,0.000517996451224441,132.6956954926769
2.315639472746704,0.0003164217368687274,-42.03783566402431
2.404702529390809,0.0001083837177578562,128.1961384599968
2.493765586034913,3.424916464876521e-05,78.66877138924571
2.582828642679017,6.439983804849408e-05,-64.35203943215325
2.67189169932312,7.712604903992079e-05,177.0368669674681
2.760954755967225,4.87307386188309e-05,36.37561107263096
2.850017812611329,6.812204207836264e-05,-134.9276172677377
2.939080869255433,0.0001903501412695881,8.249634388730689
3.028143925899537,0.0003291635856226461,168.4056098599726
3.117206982543641,0.0004531176530375311,-25.2438163714814
3.206270039187745,0.0004923203679855637,147.7636755139901
