Time (s),Channel 1 (V)
-5.818912280701754,0.0116815933030644
-5.818210530701755,0.01201623380411879
-5.817508780701755,0.0126855148062287
-5.816807030701755,0.0126855148062287
-5.816105280701755,0.0126855148062287
-5.815403530701754,0.0126855148062287
-5.814701780701754,0.0126855148062287
-5.814000030701755,0.0126855148062287
-5.813298280701755,0.0126855148062287
-5.812596530701755,0.0126855148062287
-5.811894780701754,0.0126855148062287
-5.811193030701754,0.0130201553072831
-5.810491280701755,0.01268551480622901
-5.809789530701755,0.0126855148062287
-5.809087780701755,0.0126855148062287
-5.808386030701755,0.0126855148062287
-5.807684280701754,0.0126855148062287
-5.806982530701755,0.0126855148062287
-5.806280780701755,0.0130201553072834
-5.805579030701755,0.0126855148062287
-5.804877280701755,0.0126855148062287
-5.804175530701754,0.0130201553072834
-5.803473780701754,0.01302015530728249
-5.802772030701755,0.01201623380411909
-5.802070280701755,0.0126855148062287
-5.801368530701755,0.01235087430517401
-5.800666780701754,0.0126855148062287
-5.799965030701754,0.01268551480622809
-5.799263280701755,0.0120162338041197
-5.798561530701755,0.0126855148062287
-5.797859780701755,0.01201623380411909
-5.797158030701755,0.0126855148062287
-5.796456280701754,0.0130201553072834
-5.795754530701755,0.01268551480622901
-5.795052780701755,0.01201623380411909
-5.794351030701755,0.01235087430517401
-5.793649280701755,0.0126855148062287
-5.792947530701754,0.01235087430517401
-5.792245780701754,0.01235087430517401
-5.791544030701755,0.01235087430517401
-5.790842280701755,0.01235087430517401
-5.790140530701755,0.01201623380411909
-5.789438780701754,0.01201623380411909
-5.788737030701754,0.01235087430517401
-5.788035280701755,0.01235087430517401
-5.787333530701755,0.0126855148062287
-5.786631780701755,0.0130201553072834
-5.785930030701754,0.01235087430517401
-5.785228280701754,0.01235087430517401
-5.784526530701755,0.01235087430517401
-5.783824780701755,0.01235087430517401
-5.783123030701755,0.01235087430517401
-5.782421280701755,0.01235087430517401
-5.781719530701754,0.01235087430517401
-5.781017780701755,0.01235087430517401
-5.780316030701755,0.0126855148062287
-5.779614280701755,0.0126855148062287
-5.778912530701755,0.01235087430517401
-5.778210780701754,0.01201623380411909
-5.777509030701754,0.0126855148062284
-5.776807280701755,0.01235087430517431
-5.776105530701755,0.0126855148062287
-5.775403780701755,0.01235087430517401
-5.774702030701754,0.01235087430517401
-5.774000280701754,0.01235087430517371
-5.773298530701755,0.0120162338041194
-5.772596780701755,0.0126855148062287
-5.771895030701755,0.01235087430517401
-5.771193280701755,0.01235087430517401
-5.770491530701754,0.01235087430517401
-5.769789780701755,0.0126855148062284
-5.769088030701755,0.0126855148062287
-5.768386280701755,0.0130201553072834
-5.767684530701755,0.0126855148062287
-5.766982780701754,0.01235087430517401
-5.766281030701754,0.0120162338041197
-5.765579280701755,0.0126855148062287
-5.764877530701755,0.0126855148062287
-5.764175780701755,0.01235087430517401
-5.763474030701754,0.01235087430517401
-5.762772280701754,0.01235087430517401
-5.762070530701755,0.01235087430517401
-5.761368780701755,0.01235087430517401
-5.760667030701755,0.0126855148062287
-5.759965280701755,0.01235087430517401
-5.759263530701754,0.01235087430517401
-5.758561780701755,0.01235087430517401
-5.757860030701755,0.01235087430517401
-5.757158280701755,0.01235087430517401
-5.756456530701755,0.01201623380411909
-5.755754780701754,0.01235087430517401
-5.755053030701754,0.0120162338041194
-5.754351280701755,0.01235087430517401
-5.753649530701755,0.01235087430517401
-5.752947780701755,0.01235087430517401
-5.752246030701754,0.0126855148062287
-5.751544280701754,0.01235087430517371
-5.750842530701755,0.0120162338041194
-5.750140780701755,0.01235087430517401
-5.749439030701755,0.0126855148062287
-5.748737280701754,0.01201623380411909
-5.748035530701754,0.0120162338041197
-5.747333780701755,0.01268551480622809
-5.746632030701755,0.01235087430517401
-5.745930280701755,0.01201623380411909
-5.745228530701755,0.01235087430517401
-5.744526780701754,0.01235087430517401
-5.743825030701755,0.01235087430517401
-5.743123280701755,0.01235087430517401
-5.742421530701755,0.01201623380411909
-5.741719780701755,0.01201623380411909
