Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
23988.32919019491,0.03924088823225948,-18.54390053065836,-59.25842461867865
25118.86431509582,0.02966348064810398,-18.8921877334582,-59.02157766922314
26302.67991895384,0.04246181584539525,-19.22811936467949,-58.76457776548781
27542.28703338168,0.04249831273556674,-19.56945502072391,-58.40906715620294
28840.31503126608,0.03334246113478008,-19.9017403787233,-57.98833552236428
30199.51720402019,0.04463932669183116,-20.23474128709372,-57.56718194182838
31622.77660168381,0.04662397518007558,-20.56763507575111,-57.06660615658527
33113.11214825913,0.04758400314230708,-20.89684504896676,-56.52668514009287
34673.68504525317,0.04927566133532579,-21.22148876764875,-55.9355277735386
36307.80547701016,0.0507724032796362,-21.54304001768814,-55.28516539107187
38018.93963205612,0.05113684112824335,-21.86488631942784,-54.56444897713135
39810.71705534973,0.05089104280840727,-22.16546954143089,-53.84489954069181
41686.93834703357,0.05463456079498642,-22.46902212643202,-53.00724757500756
43651.58322401661,0.05807741137670538,-22.76026592289055,-52.1993549849516
45708.81896148752,0.05971342715443764,-23.058835037874,-51.27663733081985
47863.00923226388,0.05765050262630782,-23.33540385834766,-50.39704010287348
50118.72336272725,0.05743151519182907,-23.61203892569146,-49.3899583114864
52480.74602497728,0.06573241684231226,-23.85563953163521,-48.36317037867627
54954.08738576245,0.06709472724633091,-24.1178961340895,-47.31658845066848
57543.99373371572,0.06973406927132283,-24.37797301531906,-46.24888276004828
60255.95860743581,0.07298921539808663,-24.60470297716088,-45.16474468922365
63095.73444801933,0.07365512650563086,-24.84823842566545,-44.03936115933808
66069.34480075965,0.07709454224784555,-25.0673532575488,-42.92694584410336
69183.09709189367,0.07945542449331039,-25.26549531321189,-41.73220056486081
72443.59600749903,0.0809476969717149,-25.47479684179102,-40.65626873600605
75857.75750291844,0.08056491327386678,-25.66969309737632,-39.46135290939138
79432.82347242818,0.07267559486531723,-25.8506966976583,-38.20802898385572
83176.37711026713,0.07994696494431647,-26.02130861742395,-37.09616775277102
87096.35899560805,0.08363491820596233,-26.17991352844876,-35.89966521347053
91201.08393559101,0.08525407676367261,-26.34227286071777,-34.76271709241342
95499.25860214364,0.08149993651183474,-26.49105346731192,-33.52896210334679
100000,0.09048620575782462,-26.62383822319336,-32.32690976245185
104712.85480509,0.09732384096770252,-26.74542616966608,-31.21625431859815
109647.8196143186,0.09831167733626743,-26.86928950507829,-30.07944016925769
114815.3621496883,0.0990424114694123,-26.9872574565716,-28.99928819666678
120226.4434617413,0.1006810844816953,-27.09545629174371,-27.95582378352806
125892.5411794167,0.09720021720641323,-27.19596753858621,-26.96052869786714
131825.6738556407,0.09605103119638651,-27.29423649404108,-25.89362942881011
138038.4264602886,0.09819579967111725,-27.37452834937937,-24.84864880453229
144543.9770745928,0.09978373382436603,-27.45021159482406,-23.95251769456475
151356.1248436209,0.1008962101118538,-27.50983250236808,-22.90631239598339
158489.3192461114,0.09999864933260913,-27.58364278373419,-21.94422432325762
165958.6907437561,0.09794067923993309,-27.64595648088738,-21.10202097074797
173780.0828749376,0.08342099141003639,-27.70674787294947,-20.26067255093006
181970.0858609984,0.0933642826446881,-27.74241839644035,-19.41189022872377
190546.0717963248,0.09132062122247993,-27.79542703289983,-18.63827657686171
199526.2314968881,0.0859893920046302,-27.85484336119943,-17.87377334326261
208929.613085404,0.08338748048715783,-27.90370380808355,-17.08437990325145
218776.1623949553,0.08008783003432952,-27.94145012796205,-16.34790617900816
229086.7652767773,0.07604576967604972,-27.98691071265357,-15.60857335705927
239883.2919019491,0.07119624724165685,-28.0032193453688,-15.00080789823233
251188.6431509582,0.06246878511460495,-28.03281930285868,-14.27731538312567
263026.7991895382,0.05500157497762904,-28.05587488330713,-13.67155718768942
275422.8703338167,0.05300684733091848,-28.09983834461682,-13.04544099497798
288403.1503126606,0.05374396535501182,-28.08192933306411,-12.43504075212157
301995.1720402017,0.05105996759903295,-28.12758473097683,-12.02856865945545
316227.766016838,0.04779112309826625,-28.13791353868659,-11.39327006308302
331131.121482591,0.04257070905525146,-28.16874911419635,-10.90028253713503
346736.8504525317,0.03243883421500295,-28.18421065481771,-10.44672404044787
363078.0547701015,0.03418413536912106,-28.17044725721848,-9.967986384058031
380189.3963205612,0.02926205667711743,-28.18586823359804,-9.607165612184337
398107.1705534974,0.01951111799533166,-28.20949117927928,-8.996290251049068
416869.3834703353,0.01941988274863618,-28.20154296420492,-8.595673140699494
436515.832240166,0.01331324126191159,-28.21911339262942,-8.211058914615275
457088.1896148752,-0.00154003214025559,-28.22504700094346,-7.890561291404598
478630.0923226383,0.003408233783462744,-28.2384938598539,-7.524584860579791
501187.2336272725,-0.002077432315658789,-28.23924754397008,-7.204933803427467
524807.4602497725,-0.007265387412190502,-28.24048113411563,-6.778392665032617
549540.8738576246,-0.01232410723892179,-28.25203240909801,-6.542926675216027
575439.9373371572,-0.01694810469301964,-28.2547310060183,-6.23858424931846
602559.5860743576,-0.02522564608094725,-28.2696875532177,-5.757797515835641
630957.3444801933,-0.02747033853994364,-28.25640060553343,-5.657235367181329
660693.4480075957,-0.03065678283480833,-28.26903425423309,-5.473182530842557
691830.9709189365,-0.0380045301700193,-28.28656461517205,-5.225697969705587
724435.9600749902,-0.04271898144990939,-28.2779034523867,-4.820061576677848
758577.5750291836,-0.04498130399259999,-28.2826345620413,-4.5865903211159
794328.2347242816,-0.04984691661557868,-28.28800124420186,-4.423231821113554
831763.7711026713,-0.05468213265038979,-28.28893306392205,-4.323538526095536
870963.5899560805,-0.06133199532429036,-28.29738294372788,-4.040122326744196
912010.8393559098,-0.06464917382060023,-28.29293381659248,-3.813075599043368
954992.5860214357,-0.06818155201827365,-28.28023498270124,-3.687214520797291
1000000,-0.07384505835962613,-28.28323979662594,-3.413545964992437
