Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Ls (H)
1000.000000000001,91.98568937192897,-0.6138992984661215,17.70657376903716,0.002818088740563553
1047.128548050901,91.90347243639371,-0.6180267739281158,18.59617022634877,0.002826465212519321
1096.478196143186,91.78181287416179,-0.6055416064397259,19.46545198527724,0.002825430468085895
1148.153621496884,91.85336536639127,-0.6588909980915141,20.36215090983103,0.002822563904869883
1202.264434617413,91.65845006108816,-0.6179131166982389,21.34156850971054,0.002825182234335698
1258.925411794169,91.67143265973981,-0.6520895044847587,22.34692330176368,0.002825126312529029
1318.256738556409,91.6086807131411,-0.6573474927397698,23.4063474933276,0.002825880417929133
1380.384264602885,91.51582564372782,-0.6483309298875373,24.50015218285928,0.002824807864299668
1445.43977074593,91.42938909056285,-0.6400398703138761,25.65010138122227,0.00282428954028507
1513.56124843621,91.44604463548175,-0.6768537056516221,26.81288344426692,0.002819445161608718
1584.893192461114,91.36779887703283,-0.6715816211351588,28.12656389796285,0.002824468991250757
1659.586907437563,91.34117308933419,-0.6898404711836719,29.46504715154047,0.002825707940685152
1737.800828749376,91.29225335030766,-0.696019889159352,30.85481643317461,0.002825810917046696
1819.700858609984,91.28380554849362,-0.7240386383037489,32.30817586672271,0.002825742410980135
1905.46071796325,91.26677855693782,-0.7487845890370122,33.8616450792298,0.002828317658179463
1995.262314968881,91.22749570433426,-0.7605573724143015,35.49508173094643,0.002831315797702049
2089.296130854041,91.17704183517878,-0.7631610981128684,37.14375936630164,0.002829475832009656
2187.761623949554,91.17377468569047,-0.7959193848998579,38.84599177917083,0.002825962181291432
2290.867652767774,91.09821609766463,-0.7810614365598492,40.74429737225105,0.002830655154506749
2398.832919019493,91.20123726594748,-0.8944620028842941,42.65717526839722,0.002830168057339219
2511.886431509582,91.13460301337999,-0.8861805085709163,44.74495955144762,0.002835073035837862
2630.267991895385,91.07639957613806,-0.8793584433799764,46.80195068445487,0.002831940251231393
2754.228703338169,91.15280459799044,-0.9857227480576503,48.98499879789612,0.002830630835626175
2884.031503126609,91.10231026903162,-0.9874360028930148,51.31852314462305,0.00283200673147572
3019.951720402019,91.15220507814409,-1.082471402940443,53.82087207009877,0.002836422110196005
3162.277660168382,91.07491450970002,-1.057916362906757,56.38311749955989,0.002837717879747562
3311.311214825914,91.12346165762816,-1.156781862406169,58.98752630670465,0.002835177904885881
3467.368504525317,91.12090040266322,-1.209192785542392,61.80103441280891,0.002836716115450039
3630.780547701017,91.07826189131312,-1.219525745747554,64.79448983157749,0.002840260711527393
3801.893963205617,91.04294487063807,-1.23585531473493,67.88611241960193,0.002841849473824324
3981.071705534973,91.01049000119539,-1.25528345866884,71.16843023888167,0.002845165398267211
4168.693834703359,91.04707396784983,-1.362094598902829,74.52537838905717,0.00284527548117632
4365.158322401665,91.09155461184859,-1.488446589692149,78.11921529740178,0.00284824932952282
4570.881896148752,91.05096345148907,-1.500854834675083,81.81350461398682,0.002848689589192536
4786.300923226389,91.03943492652868,-1.554583699698947,85.68243266046989,0.002849127731998063
5011.87233627273,91.05648241950658,-1.6559355913817,89.79550030703466,0.002851508734139608
5248.074602497728,91.06351481915391,-1.747747592722281,94.14731042023411,0.002855144213280808
5495.408738576254,91.05961458941215,-1.824192872989302,98.62702686978963,0.002856380588871531
5754.399373371578,91.05194379961823,-1.897039820716001,103.313658194493,0.002857444943194125
6025.59586074358,91.02549719793704,-1.937930726217866,108.2629917323535,0.002859566204958649
6309.573444801937,91.04029076987177,-2.060958840769465,113.4983320407316,0.002862922626227503
6606.934480075965,90.99982333102076,-2.074923129792323,118.8932755112867,0.002864029082635962
6918.30970918937,90.97769886053302,-2.124829306033559,124.5086187216595,0.002864306884205406
7244.359600749906,90.96603104099896,-2.199985939890509,130.4698912744003,0.002866358003381479
7585.775750291844,90.95054949863233,-2.268861424053132,136.7464370361332,0.002869037013606409
7943.282347242821,90.94158464239568,-2.353284116924954,143.1853319903083,0.002868921482115236
8317.637711026719,90.87537464755941,-2.294896692258292,150.1958782438282,0.002873942973356913
8709.635899560815,90.87912034494759,-2.41462579653292,157.3584447795637,0.002875478907813298
9120.108393559105,90.83613866597108,-2.404937358889483,164.7848429664769,0.002875659057216728
9549.925860214369,90.83390762006948,-2.514050224765478,172.7221249682753,0.002878512396055399
10000,90.80670953854303,-2.546986149951154,180.8853207530847,0.002878879293061643
10471.28548050901,90.77803635915332,-2.573466882391242,189.5023621704759,0.002880280336465028
10964.78196143186,90.74434775557715,-2.579132948760695,198.5162420525889,0.002881483764823613
11481.53621496883,90.72296149904419,-2.624409934035816,207.9773719162271,0.002882944074032078
12022.64434617414,90.7156307219423,-2.722280486631047,217.9435102597777,0.002885121273980038
12589.25411794168,90.66956472763667,-2.667653341409041,228.2651900790392,0.002885757408384887
13182.56738556407,90.65432367926772,-2.729924906959636,239.0351758869243,0.002885904445055622
13803.84264602886,90.62647529718893,-2.738506085210326,250.4465677445577,0.002887587917297261
14454.39770745929,90.61231925683707,-2.803342701756609,262.3036734785975,0.002888181650331754
15135.61248436209,90.59144388628974,-2.837690337125537,274.8898224504619,0.002890538727378656
15848.93192461115,90.54156415041101,-2.719737319266625,287.7310636953493,0.0028893947734795
16595.86907437562,90.53777569900888,-2.829329240927758,301.4339700461398,0.002890761919948587
17378.00828749376,90.53315415586513,-2.938069021018389,315.7325028833146,0.002891608042609736
18197.00858609984,90.4896787099662,-2.826750750504763,330.7412412815443,0.002892733890037096
19054.60717963249,90.46645413907784,-2.819539825675622,346.3237853072095,0.002892693710361852
