Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
100,1.001630691311917,0.5030628345392669,-1.010069902796253
106.3326571637162,1.001631669908124,0.5029928904436763,-1.081119362557757
113.0663397949639,1.001636623244477,0.5029306650239949,-1.131798521737657
120.2264434617413,1.00164826681903,0.5030655674331239,-1.219395498123816
127.8399719463023,1.0016378402805,0.50295326638586,-1.279883520913415
135.9356390878525,1.001633584862771,0.5029169622797645,-1.377979954164147
144.5439770745928,1.001617649655594,0.5029770986729497,-1.457164396409766
153.6974515935271,1.001646671261206,0.5029338951922712,-1.536960478293125
163.4305842723138,1.001628682428596,0.5028229589512181,-1.680563905316312
173.7800828749376,1.001646009262324,0.5031716632337357,-1.723800094419943
184.7849797422291,1.001613147775308,0.5030578364922805,-1.814064356751838
196.4867789993468,1.001622279215004,0.50311166665561,-1.964329605730768
208.9296130854039,1.001619537535168,0.5028002793130487,-2.123821653267555
222.1604091955812,1.001617001248161,0.5025965390377367,-2.21949235861905
236.2290662634463,1.0016048957771,0.5026262060139656,-2.36285287420975
251.1886431509579,1.001642520272032,0.5024303321458961,-2.514369680584927
267.0955587558985,1.001618374331811,0.5022768184440112,-2.698679463319188
284.0098047914214,1.001592130087984,0.5020484239576767,-2.836457515891212
301.9951720402016,1.001642936333693,0.502483347580579,-3.021091911205133
321.1194909364824,1.001632478677649,0.5021685502831618,-3.184381142348144
341.4548873833601,1.001642047659766,0.5020917576026548,-3.401416917329705
363.0780547701014,1.001602363861106,0.5016833342715146,-3.64057794865181
386.0705432153815,1.00162866704445,0.501437749037314,-3.861193810318696
410.5190671273079,1.001595357740343,0.5014787222411332,-4.129193004833354
436.5158322401661,1.001633581722989,0.5009902105848363,-4.356320428652509
464.1588833612777,1.001609902417123,0.5011036554936464,-4.646637573689098
493.5524741394807,1.00163044154513,0.5006814986112331,-4.920575836939008
524.8074602497722,1.001643529532826,0.5005520874693588,-5.210502990089253
558.0417174769964,1.001636809036604,0.5002295476425144,-5.548458796566955
593.3805862753281,1.001630800678672,0.4999284857694969,-5.87817673679163
630.957344480193,1.00154549063107,0.4993307954757901,-6.239986928760345
670.9137099554112,1.001702596774149,0.4989799172370661,-6.680568297466763
713.4003750712565,1.001592023477724,0.4983386172610886,-7.064558162763163
758.5775750291835,1.001649286249647,0.4979910034211124,-7.53046193072143
806.6156921766136,1.001658545409897,0.4973094654022232,-7.991752569961836
857.6958985908947,1.001612609326539,0.4964713928250948,-8.456432730848018
912.0108393559096,1.001729848178797,0.4958896223298412,-9.003188979235119
969.7653591082495,1.001716969118404,0.4950029410104956,-9.528555178036441
1031.177274593056,1.00168438594147,0.4935627703795541,-10.15650361895459
1096.478196143185,1.001693854342772,0.4925474987952329,-10.74855978390995
1165.914401179831,1.001651200552555,0.4917369119215007,-11.39876178555051
1239.747763028944,1.001665132359514,0.4900239351656416,-12.10800225698316
1318.256738556408,1.001736984113463,0.4885952750988833,-12.85072920361569
1401.737418346769,1.001672199901546,0.4867186602459478,-13.58889675244923
1490.504643386196,1.001846680785181,0.4848209391963641,-14.41104307449106
1584.893192461114,1.001870099371766,0.4825069745843941,-15.26960486634106
1685.259044750751,1.001834997243718,0.4800295684793482,-16.16679174939071
1791.980722375334,1.001853849747079,0.4774907685185236,-17.11717013384486
1905.460717963248,1.001891318106823,0.4742865437438781,-18.12147314069125
2026.127012621143,1.002044529287835,0.4710043616063437,-19.1766598476525
2154.434690031882,1.001909970270274,0.4674618017553166,-20.26465342973574
2290.867652767774,1.00212024478191,0.4631603254369337,-21.43318237117066
2435.940447292027,1.002173326361046,0.4587811418066278,-22.60825712782194
2590.200204531322,1.00224706064929,0.453876745706836,-23.8571613948196
2754.228703338166,1.00219252889775,0.4487875667206926,-25.11251622027002
2928.644564625237,1.002365846380495,0.4425429593375571,-26.43235741952387
3114.105584446758,1.002407697936541,0.436432579836752,-27.77333733615134
3311.311214825911,1.002434116167245,0.4296825131804621,-29.23492582417673
3521.005201684521,1.002676493305698,0.4223500188662321,-30.69735374183995
3743.978389823811,1.002698518337826,0.4147133648871347,-32.19208291228766
3981.071705534973,1.002764295754344,0.4063980349506817,-33.69835770950729
4233.179328088211,1.002992231821988,0.3975502295729688,-35.23317823695254
4501.252062061337,1.003056846683082,0.3883351800911915,-36.77903727075376
4786.30092322638,1.003229431654491,0.3784826992030597,-38.35831961598449
5089.400951518093,1.003503926114813,0.3681884819006426,-39.92791574390259
5411.695265464637,1.003021471274795,0.3577582957939547,-41.49398204805371
5754.399373371567,1.003756115418244,0.3468126084841447,-43.0496022784442
6118.805757518219,1.003914343518136,0.3357142157116049,-44.58842613567474
6506.288748655574,1.002635802568911,0.3243280981173716,-46.08386041194754
6918.309709189362,1.003418951615345,0.3126622512186812,-47.58593177819301
7356.422544596414,1.004429021449991,0.3009627957261681,-49.05078345211523
7822.279563860029,1.00464085147754,0.2892710646819673,-50.42643679369405
8317.637711026709,1.004689295147873,0.2774482612328611,-51.82438278821341
8844.365191385999,1.004867870255331,0.2658769151316275,-53.1003242762411
9404.448517263523,1.005287149667786,0.2543576858317588,-54.34799778758591
10000,1.00495269992973,0.2430337077059621,-55.50825079386316
10633.26571637162,1.004529426010905,0.2317556088468862,-56.62917552122781
11306.63397949639,1.005688493576893,0.220880638422431,-57.65902330351743
12022.64434617413,1.005959163194815,0.2102288818446102,-58.62179053039438
12783.99719463023,1.006204283683007,0.1998931860360351,-59.49876909895666
13593.56390878525,1.006326677266426,0.1898349596879329,-60.34757963029649
