Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.004128071735669495,-0.2611227086884308,-0.5985063640271875
1047.128548050901,0.004115990922094917,-0.2613660161179032,-0.6268683739382475
1096.478196143186,0.003854884909001532,-0.2610069520437421,-0.6568349223557099
1148.153621496884,0.00417607463075161,-0.2612812378879049,-0.6877895576046669
1202.264434617413,0.004123844203571159,-0.2614250638125141,-0.7202859684835587
1258.925411794169,0.004559303735415118,-0.2611698861699248,-0.7523270875159689
1318.256738556409,0.004302275797584671,-0.261156776506655,-0.7905845784821377
1380.384264602885,0.004165567289671326,-0.2609286100639135,-0.8269089629119919
1445.43977074593,0.004901694141585949,-0.2612808263557208,-0.8637985957529741
1513.56124843621,0.004563772214587034,-0.2610148653149584,-0.9057589283694831
1584.893192461114,0.00477690599595074,-0.2613776427568882,-0.9489114904921175
1659.586907437563,0.004556837239621375,-0.260898443800769,-0.9929279978046092
1737.800828749376,0.004618850411299497,-0.2608698513541708,-1.041935658578873
1819.700858609984,0.004692820401265423,-0.2608828779306347,-1.088957639660309
1905.46071796325,0.004562896684876638,-0.2611973676792479,-1.142487008076262
1995.262314968881,0.004874993563124569,-0.26130763246218,-1.196104634067742
2089.296130854041,0.005662695873497176,-0.2611532490433768,-1.251673013789969
2187.761623949554,0.005434187044631491,-0.2609599072641176,-1.312017659610291
2290.867652767774,0.006082235083649442,-0.2610329376681627,-1.374596409838284
2398.832919019493,0.006137872105401554,-0.2612983800013187,-1.439039038256561
2511.886431509582,0.00602726068932383,-0.2615306123359764,-1.50718846387398
2630.267991895385,0.007079356156624268,-0.2615765998166483,-1.579559160750279
2754.228703338169,0.006500803311545013,-0.2614779549623524,-1.654662716940976
2884.031503126609,0.00651922693849869,-0.2610263283649181,-1.733810876703307
3019.951720402019,0.006988141257794847,-0.2614480828474046,-1.817663496531774
3162.277660168382,0.006999287756768093,-0.2613166975892164,-1.902291771912492
3311.311214825914,0.007532197499768691,-0.2617216261440818,-1.99254132952431
3467.368504525317,0.008890373869624241,-0.2619013850381988,-2.088022882068169
3630.780547701017,0.008282130861631713,-0.2621150911947746,-2.187065778903571
3801.893963205617,0.00964791517909769,-0.2621922258237997,-2.29422138291396
3981.071705534973,0.009033453320296703,-0.2625695235509987,-2.403316711964048
4168.693834703359,0.009610129208931232,-0.2629825551169559,-2.517897324340934
4365.158322401665,0.01032891272758742,-0.2634846034104221,-2.639454071749338
4570.881896148752,0.01102734044946202,-0.263777116445818,-2.765997323311645
4786.300923226389,0.01158118963006963,-0.2644142663891009,-2.898636517488484
5011.87233627273,0.01190777200724301,-0.2647587692491115,-3.0403240903556
5248.074602497728,0.01106479657148362,-0.2654902196058875,-3.185450787539364
5495.408738576254,0.01316963045397751,-0.2661492883383649,-3.33913103539799
5754.399373371578,0.01368347992213945,-0.2676975132219937,-3.499798249166723
6025.59586074358,0.01400712488660619,-0.2685373933035921,-3.668078157880579
6309.573444801937,0.01557809912767582,-0.2704060074974295,-3.845008614739029
6606.934480075965,0.01705774023087022,-0.2720520970430134,-4.031203086028097
6918.30970918937,0.008908434998799581,-0.2740211356295789,-4.225347867734904
7244.359600749906,0.01776234942143982,-0.2758736031159916,-4.42651775563823
7585.775750291844,0.01896841047209713,-0.2780972500572319,-4.638468986572714
7943.282347242821,0.01953985041849221,-0.2809323396459742,-4.862617453106313
8317.637711026719,0.0179103203793211,-0.2838811126049995,-5.09512293061518
8709.635899560815,0.01548635226850599,-0.2875889957356247,-5.338071335000219
9120.108393559105,0.01392351495130175,-0.2904990332422278,-5.592014941290223
9549.925860214369,0.01517351195976009,-0.2948831331375712,-5.858170166329534
10000,0.01914576382178356,-0.2993736587490746,-6.136909977889538
10471.28548050901,0.02406147052826676,-0.3045764243942744,-6.426409244916258
10964.78196143186,0.02553679867171855,-0.3099881999525468,-6.733315583864315
11481.53621496883,0.02589346293351416,-0.3160739797333653,-7.052049545672436
12022.64434617414,0.02679249538182274,-0.323102697329416,-7.383903180355809
12589.25411794168,0.01161585718554087,-0.3302525586011502,-7.733700806976853
13182.56738556407,0.0289446528262742,-0.3382809230101964,-8.096378434463446
13803.84264602886,0.02847749208176677,-0.3477761361214989,-8.476346517354264
14454.39770745929,0.02322663182152174,-0.3578546922337703,-8.868939106438141
15135.61248436209,0.0305391623398413,-0.3685987309256301,-9.289494848661638
15848.93192461115,0.03203166185824474,-0.3810842485789082,-9.71756484691543
16595.86907437562,0.03170037916547819,-0.3946306853625689,-10.16577931171533
17378.00828749376,0.03324438152289547,-0.4083402223380698,-10.63549966605633
18197.00858609984,0.02920959003495992,-0.4240430372736367,-11.12332261942478
19054.60717963249,0.03485957123673635,-0.4414290517138303,-11.63607532938662
19952.62314968881,0.03401809316249897,-0.4604493657456139,-12.16816136101432
20892.96130854039,0.03697919688796299,-0.4812512570847471,-12.72293334966476
21877.61623949554,0.03868734588181434,-0.5037439358337412,-13.29681349173022
22908.67652767775,0.03853246647605982,-0.5280603490502999,-13.89928333900784
23988.32919019491,0.03944337765287583,-0.5550174516986838,-14.52268320583391
25118.86431509582,0.0300623926822929,-0.5836433353414585,-15.17311923142317
26302.67991895384,0.04205975895146225,-0.6151750483649616,-15.84565118193078
27542.28703338168,0.04281017841523065,-0.6499086467195592,-16.54244816856867
28840.31503126608,0.03281396685198599,-0.6869063141891812,-17.27065520013758
30199.51720402019,0.04353424751048571,-0.7271666137693724,-18.02548389612916
31622.77660168381,0.04629134043243004,-0.7710988789374493,-18.80682359586953
33113.11214825913,0.04664462057431204,-0.8189189552641238,-19.61040580034395
34673.68504525317,0.04760599734546415,-0.8703651155071713,-20.4497133981369
36307.80547701016,0.04977541789796479,-0.9254794008801815,-21.31478759541503
38018.93963205612,0.04980035859053712,-0.9856899978572807,-22.20522614863362
39810.71705534973,0.05135303843384759,-1.050293164048441,-23.12148245557876
41686.93834703357,0.05416729430399932,-1.121080543806207,-24.06842682886735
43651.58322401661,0.05556334573479402,-1.197139892513208,-25.04428270636733
45708.81896148752,0.05702442248789173,-1.278094388543177,-26.04391350866607
47863.00923226388,0.05433944181607388,-1.364602164341593,-27.06164007972596
50118.72336272725,0.05517614139695513,-1.458392620163735,-28.11128457281313
52480.74602497728,0.06418014002207414,-1.559157704948342,-29.18633071030152
54954.08738576245,0.06581792431542922,-1.665845381651389,-30.27674562142628
57543.99373371572,0.0670262195353433,-1.78084189675445,-31.3958698912444
60255.95860743581,0.06875478263047251,-1.902535537549277,-32.52878823576049
63095.73444801933,0.06907084136761722,-2.031613828468824,-33.6805821276929
66069.34480075965,0.07283903841099433,-2.169031611275808,-34.84438454159866
69183.09709189367,0.0747392111476487,-2.315345926474489,-36.01978078860881
72443.59600749903,0.07765401213236155,-2.469153652911608,-37.21920100948248
75857.75750291844,0.07593012621664433,-2.632615546785225,-38.40726069008916
79432.82347242818,0.06737382182930919,-2.803171555844048,-39.61530981400817
83176.37711026713,0.0747685600968752,-2.983903022458286,-40.81899340843276
87096.35899560805,0.07892436049471345,-3.172935760227731,-42.02233435689993
91201.08393559101,0.08039042105801712,-3.370934225993001,-43.22037082995775
95499.25860214364,0.07512590794327481,-3.579372574038472,-44.41676734279807
100000,0.08583793849262836,-3.796924675277946,-45.60227581258708
104712.85480509,0.09053856747379915,-4.020413566233821,-46.77217241178241
109647.8196143186,0.09186428080032635,-4.254444217322114,-47.93710776926977
114815.3621496883,0.09312174557224129,-4.497110296442409,-49.07732866722989
120226.4434617413,0.09311404577952007,-4.748845249887019,-50.19585956631913
125892.5411794167,0.09129098960197368,-5.005589532423982,-51.29861662320722
131825.6738556407,0.08891381621424445,-5.274261844847947,-52.36872146802469
138038.4264602886,0.08974884948323812,-5.547318523242501,-53.4187877628595
144543.9770745928,0.09220148253821053,-5.829174879027455,-54.43302636923336
151356.1248436209,0.09362090578857603,-6.120716197352963,-55.42386846033774
158489.3192461114,0.08979169106200027,-6.415562123410687,-56.37931806828639
