Time (s),Channel 1 (V),Channel 2 (V)
0.00010185,1.010762655134059,-0.05261611148757692
0.00010186,1.009732456624988,-0.05295309614027897
0.00010187,1.010419255631034,-0.05362706544568135
0.00010188,1.008702258115916,-0.05396405009838248
0.00010189,1.010762655134057,-0.05329008079298039
0.0001019,1.010762655134059,-0.05295309614027836
0.00010191,1.012136253146152,-0.05194214218217562
0.00010192,1.01007585612801,-0.05362706544568074
0.00010193,1.008702258115915,-0.05261611148757692
0.00010194,1.009389057121963,-0.0505942035713693
0.00010195,1.008702258115915,-0.05093118822406981
0.00010196,1.011106054637082,-0.04992023426596615
0.00010197,1.010419255631034,-0.05059420357136838
0.00010198,1.008358858612891,-0.05059420357136838
0.00010199,1.009045657618939,-0.05126817287677093
0.000102,1.01007585612801,-0.04823531100245918
0.00010201,1.008015459109868,-0.04992023426596478
0.00010202,1.008358858612891,-0.05025721891866681
0.00010203,1.00732866010382,-0.04992023426596554
0.00010204,1.00732866010382,-0.04992023426596554
0.00010205,1.009732456624985,-0.04890928030786219
0.00010206,1.009732456624987,-0.047898326349757
0.00010207,1.007672059606843,-0.04992023426596401
0.00010208,1.006641861097772,-0.04823531100245842
0.00010209,1.006985260600796,-0.04823531100245842
0.0001021,1.00835885861289,-0.04823531100245842
0.00010211,1.008015459109868,-0.04823531100245842
0.00010212,1.006985260600796,-0.04890928030785974
0.00010213,1.006641861097772,-0.04722435704435384
0.00010214,1.00732866010382,-0.04655038773895129
0.00010215,1.008702258115914,-0.04789832634975577
0.00010216,1.010419255631035,-0.04587641843354844
0.00010217,1.00732866010382,-0.04655038773895099
0.00010218,1.00835885861289,-0.04621340308624926
0.00010219,1.006641861097772,-0.04486546447544417
0.0001022,1.007672059606843,-0.04655038773895053
0.00010221,1.008358858612891,-0.04621340308624942
0.00010222,1.00732866010382,-0.04520244912814606
0.00010223,1.008358858612891,-0.04318054121193814
0.00010224,1.008358858612891,-0.04553943378084702
0.00010225,1.006641861097773,-0.04385451051734066
0.00010226,1.006298461594748,-0.04250657190653544
0.00010227,1.008702258115915,-0.04284355655923563
0.00010228,1.005955062091723,-0.04419149517004072
0.00010229,1.004924863582652,-0.04351752586463848
0.0001023,1.012136253146151,-0.04284355655923593
0.00010231,1.006985260600801,-0.04250657190653451
0.00010232,1.005955062091724,-0.04351752586463848
0.00010233,1.008015459109866,-0.0421695872538334
0.00010234,1.005955062091725,-0.04284355655923548
0.00010235,1.00732866010382,-0.04250657190653421
0.00010236,1.006298461594749,-0.04183260260113197
0.00010237,1.0056116625887,-0.04183260260113136
