Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.003484506603690296,-0.0765220266500424,-0.1622397983038866
1047.128548050901,0.004138520948367415,-0.07647792261156405,-0.1710735862754049
1096.478196143186,0.004402403202595186,-0.07661211490884121,-0.177119698317739
1148.153621496884,0.004125937292114234,-0.0760001091826854,-0.185632296224199
1202.264434617413,0.003536462991647286,-0.07616417083823415,-0.1946621232326677
1258.925411794169,0.004635033147939419,-0.07623811715281824,-0.2032838536840558
1318.256738556409,0.004592689002101981,-0.07589385939782532,-0.2141174576022151
1380.384264602885,0.004327803817223306,-0.07609908238294247,-0.2243544474569887
1445.43977074593,0.004388496067971694,-0.07568088058316469,-0.2350241785229681
1513.56124843621,0.00413829994743946,-0.0756932872974546,-0.2463176984744821
1584.893192461114,0.004409001069426878,-0.07536918966522201,-0.258830084957447
1659.586907437563,0.004212485739482395,-0.07490415244757613,-0.2706482182266778
1737.800828749376,0.004857737828184658,-0.07521451521132481,-0.2825103287775188
1819.700858609984,0.004990623872522933,-0.07492502814165203,-0.2969987719845584
1905.46071796325,0.004594619537495538,-0.07471191722522219,-0.3113909753386868
1995.262314968881,0.005072927651384149,-0.07446659154224736,-0.3252800558750527
2089.296130854041,0.005379667332175569,-0.07425617939732228,-0.3428733615052503
2187.761623949554,0.005813263369688127,-0.0736750819331205,-0.3577217454694015
2290.867652767774,0.005375867763536537,-0.07359560401010436,-0.3763804034501431
2398.832919019493,0.005839971767489503,-0.07341386583689212,-0.3950991484214725
2511.886431509582,0.005961058012589447,-0.07292271384701778,-0.4152395673815299
2630.267991895385,0.006933231071457237,-0.07277232767585524,-0.4367496506991699
2754.228703338169,0.006196292536531634,-0.07230091493889221,-0.4575307157895946
2884.031503126609,0.00673923583745047,-0.07191741127998631,-0.4798735400533829
3019.951720402019,0.006731400145053857,-0.07133396782739741,-0.5041577348308776
3162.277660168382,0.007373842496965592,-0.07126678548812149,-0.527882922093975
3311.311214825914,0.007040365380760971,-0.07077122050768817,-0.5556753691090393
3467.368504525317,0.008019517907907026,-0.07012717184356396,-0.5835280446855317
