Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.003737820481626403,-0.8003707510634311,-1.795302863367183
1047.128548050901,0.003765093722185565,-0.8009095504203828,-1.878351197396306
1096.478196143186,0.004027016830352875,-0.8015041042537563,-1.967256288855978
1148.153621496884,0.003777520802810957,-0.8013918685772576,-2.058336825745783
1202.264434617413,0.003585701107073008,-0.8023188275425255,-2.156394694018623
1258.925411794169,0.004273509020633141,-0.8031432386007443,-2.2560560811798
1318.256738556409,0.003588143117458508,-0.8039752701665328,-2.364078316397027
1380.384264602885,0.004337566977188068,-0.8045488433790537,-2.472782427070022
1445.43977074593,0.004374931013963201,-0.8055597950730828,-2.587863250185217
1513.56124843621,0.004181486465758585,-0.8066604704382087,-2.711178919109673
1584.893192461114,0.004678468788250451,-0.8076859930203516,-2.836721479818069
1659.586907437563,0.004287978529637802,-0.8087308696890783,-2.971060081027086
1737.800828749376,0.004834771857338219,-0.8098488443024476,-3.109437036830892
1819.700858609984,0.005275553548892687,-0.8113159131926502,-3.258273564196938
1905.46071796325,0.004670028663803109,-0.81306058038836,-3.406514298604504
1995.262314968881,0.004555015200366491,-0.8143345687592698,-3.569311657286612
2089.296130854041,0.005088917204646627,-0.8158681097613284,-3.736875671157833
2187.761623949554,0.005290068356155544,-0.8177084758014512,-3.911768130188198
2290.867652767774,0.005776620750137112,-0.819983597812183,-4.095455432319227
2398.832919019493,0.006038303322126962,-0.8224919892118061,-4.286410965519823
2511.886431509582,0.005774558532370619,-0.8247964386946588,-4.488538539103736
2630.267991895385,0.006533720503855166,-0.8274697170045466,-4.700074666350043
2754.228703338169,0.006064737077688368,-0.830370855296638,-4.920353263627359
2884.031503126609,0.00739361945899067,-0.8336096109487746,-5.148577403318906
3019.951720402019,0.00680369152388977,-0.8372892303209062,-5.390964627874328
3162.277660168382,0.007388937598020852,-0.8410840136398545,-5.643516866866229
3311.311214825914,0.007400292079919637,-0.8453811772919326,-5.908203983677505
3467.368504525317,0.008490232059150641,-0.8497340856232195,-6.184481722724061
3630.780547701017,0.008316294923786832,-0.8549657952056213,-6.473571332451826
3801.893963205617,0.009330273404001712,-0.8603251278605979,-6.775319910043076
3981.071705534973,0.008611179276789171,-0.8668745795159352,-7.093400697478313
4168.693834703359,0.009215830107222728,-0.8734357360072296,-7.426378761048976
4365.158322401665,0.009978871175474812,-0.8807112514843601,-7.769925565567682
4570.881896148752,0.01089777361034054,-0.8893532751040155,-8.132340704723568
4786.300923226389,0.0109820989691922,-0.8981711887167723,-8.511069114941305
5011.87233627273,0.01150548501438818,-0.9081084569966738,-8.905885499817146
5248.074602497728,0.01092573911096927,-0.918581166876721,-9.319756129525436
5495.408738576254,0.01378584014284131,-0.9304782009216841,-9.751889046419999
5754.399373371578,0.01392300408199372,-0.9438201198014967,-10.20334237672752
6025.59586074358,0.01474822802012699,-0.9578109324458886,-10.6742878181118
6309.573444801937,0.01503509591020991,-0.9731021380349372,-11.16441904040632
6606.934480075965,0.01632723588931521,-0.9900025478735174,-11.67716114291696
6918.30970918937,0.008906927099254258,-1.00880992471835,-12.21203011732193
7244.359600749906,0.01713605210977321,-1.029245848772046,-12.76817896095831
7585.775750291844,0.01841959470386951,-1.051365589774727,-13.34778911218048
7943.282347242821,0.01952328455058378,-1.075630879031384,-13.95043751754579
8317.637711026719,0.01746923243836538,-1.102089373614166,-14.57966864077473
8709.635899560815,0.01511636000132758,-1.130785305724396,-15.23270898653254
9120.108393559105,0.01337752940192294,-1.161822232104103,-15.90986880271535
9549.925860214369,0.01485047462603162,-1.19634199608234,-16.61689115745115
10000,0.01900354449843979,-1.234098025608926,-17.34802895931281
10471.28548050901,0.02299375793631925,-1.273319501344193,-18.10445825665198
10964.78196143186,0.02460944811580276,-1.317396919234002,-18.88782773620088
11481.53621496883,0.02533130887006741,-1.364997274286708,-19.70560469948029
12022.64434617414,0.0258543938212881,-1.417384094800565,-20.54715135071843
12589.25411794168,0.01139307225738238,-1.473253487937381,-21.41709775925611
13182.56738556407,0.02806252141308891,-1.534105107421642,-22.31056834126852
13803.84264602886,0.02822805179790625,-1.599597253245656,-23.23984722236615
14454.39770745929,0.02273806311368334,-1.670365391852929,-24.19166499394331
15135.61248436209,0.0298476658226109,-1.746669089095112,-25.16991128302311
15848.93192461115,0.03066067477670123,-1.828727459129701,-26.17806129563112
16595.86907437562,0.03044306480477772,-1.917493739617704,-27.20805355275031
17378.00828749376,0.03252057288659665,-2.012087769184814,-28.2630295617752
18197.00858609984,0.02922813060598925,-2.112604246271878,-29.33998717543252
19054.60717963249,0.03412172987305807,-2.221671622127291,-30.44290791046259
19952.62314968881,0.03348253299039306,-2.337849462836068,-31.56309513952938
20892.96130854039,0.03609151898903153,-2.460927759252419,-32.70074069415148
21877.61623949554,0.03726204967520864,-2.592305388794659,-33.85878919443841
22908.67652767775,0.03776665375737596,-2.73191181799845,-35.02812921274192
23988.32919019491,0.03780960766921492,-2.880019856099408,-36.21108577596026
25118.86431509582,0.02877453182672798,-3.036271229453205,-37.39836765475964
26302.67991895384,0.04053446123549584,-3.200751444564108,-38.60153213979268
27542.28703338168,0.0414058413357084,-3.375788893072404,-39.8027911086961
28840.31503126608,0.0319992170100193,-3.55905810543712,-41.01017576041743
30199.51720402019,0.0427070227608629,-3.749834455136801,-42.21052668886786
31622.77660168381,0.04513712980797133,-3.950940535087218,-43.40557243294187
33113.11214825913,0.04554727014702804,-4.160468067970824,-44.59784383009727
34673.68504525317,0.04704320869700214,-4.379473996972122,-45.78333811328409
36307.80547701016,0.04871874462261477,-4.606453074053039,-46.94610214231778
38018.93963205612,0.04900037347630747,-4.842798073843149,-48.09736059627136
39810.71705534973,0.05077267054119887,-5.089352695365092,-49.23008759101616
41686.93834703357,0.05261854695744284,-5.342837492904647,-50.35358761103176
43651.58322401661,0.05508517783447833,-5.603852621933742,-51.43580127493421
45708.81896148752,0.05776527830217767,-5.875860129497196,-52.50575530433739
47863.00923226388,0.05410969853667891,-6.150865226411057,-53.52771672805046
50118.72336272725,0.05442762109287387,-6.435582065283714,-54.52177566643709
52480.74602497728,0.06343966932578771,-6.727529898335051,-55.48855480051841
54954.08738576245,0.06505104059838135,-7.024910543415137,-56.4337384489206
57543.99373371572,0.06790391676485116,-7.329369313110838,-57.31677666707636
60255.95860743581,0.06963750196368421,-7.639728284938445,-58.18666339930051
63095.73444801933,0.07000367173516271,-7.956730799480555,-58.99812590913508
66069.34480075965,0.07395684422262251,-8.277510077030776,-59.79021992442139
69183.09709189367,0.07566776034335811,-8.604373137669322,-60.55288617418588
72443.59600749903,0.07918776025505282,-8.933954761612702,-61.23243714329094
75857.75750291844,0.07781296371280635,-9.271410027428434,-61.90332144243295
79432.82347242818,0.06958505765139411,-9.611991504226882,-62.52762774482995
83176.37711026713,0.07675649150713533,-9.953831855458432,-63.11179342682465
87096.35899560805,0.08058916651254654,-10.29981989183345,-63.64440852217902
91201.08393559101,0.0824366187524255,-10.65332323342832,-64.14448863125517
