Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (deg)
10,0.9986094165006431,0.9958720721769598,-3.194313884327514
10.31177274593055,0.9985440689706871,0.9956705093113809,-3.294140616334612
10.63326571637161,0.9985786180966183,0.9954566491329749,-3.395982437647007
10.96478196143185,0.9985524990957912,0.9952460123942758,-3.500760630598052
11.30663397949639,0.9985311768745271,0.9950342350963756,-3.609156621332843
11.65914401179832,0.9985102392275372,0.9947934804734575,-3.718879884393534
12.02264434617413,0.9984633992183024,0.9945929211588379,-3.834182615133287
12.39747763028944,0.998487451975747,0.9942424709210208,-3.952790250989381
12.78399719463024,0.9984307555453913,0.9939971061995823,-4.075286574532541
13.18256738556408,0.9984248802892915,0.9937047240058768,-4.199403427177618
13.59356390878525,0.998417650375512,0.9933816591390559,-4.326481665625352
14.0173741834677,0.9983957346946863,0.9930913294241476,-4.459365044403143
14.45439770745927,0.9983317166624719,0.9927794416293009,-4.596427187386994
14.90504643386196,0.9983548099850359,0.9924156222043071,-4.735510816244613
15.36974515935272,0.9983060761165612,0.9920702289977529,-4.881271662654868
15.84893192461113,0.9982992691999252,0.9916757611971763,-5.03104133097683
16.34305842723138,0.998244513733809,0.9912597574692742,-5.183762205937242
16.85259044750751,0.9982272204078981,0.9908270711583778,-5.342143851546368
17.37800828749376,0.9981570524964224,0.9904495159339964,-5.50597696072626
17.91980722375334,0.9981536522064082,0.989992435202523,-5.671638403325318
18.47849797422291,0.9981280962033743,0.9894268394336156,-5.84558746174633
19.05460717963247,0.9980710855204076,0.9889869291779158,-6.022312187893675
19.64867789993468,0.9980234832770606,0.988461268512439,-6.205310409260065
20.26127012621143,0.9979832894107765,0.9879037342588645,-6.395807464288549
20.8929613085404,0.9979443484898178,0.98731367206874,-6.58754992349661
21.54434690031883,0.997911220120263,0.9867322712894847,-6.789665283750061
22.21604091955812,0.9978394106535756,0.986080338166345,-6.994440836754904
22.90867652767772,0.9977797236905672,0.9853940593376899,-7.206827653980334
23.62290662634462,0.9976949508992464,0.9846961681508486,-7.423819336655839
24.35940447292027,0.9976465402698469,0.9839566534233657,-7.649203151009729
25.1188643150958,0.9975765727653143,0.983186073895205,-7.88020227316774
25.90200204531324,0.9974788388726504,0.98236460566462,-8.118525251974823
26.70955587558985,0.9974362122610975,0.9814478124489323,-8.361698275098007
27.54228703338166,0.9973571422212325,0.9805527543916368,-8.61392202109988
28.40098047914215,0.9972432938954723,0.9796406101028506,-8.871990387389928
29.28644564625237,0.9971703484646083,0.9786459534732349,-9.138629484753679
30.19951720402016,0.9970727399480047,0.9775926262713406,-9.411057990757135
