Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
14.30000000000001,0.998385346551146,0.983230177778078,-9.033384440399409
14.70972990763309,0.9983482625537069,0.9825391734516343,-9.298643247247753
15.13119957730875,0.9983625805254699,0.9818487356487792,-9.566186962886164
15.56474538186738,0.998348759191224,0.9810818629866606,-9.83843355819393
16.01071333205234,0.9983156911538499,0.9802950058497701,-10.11773047737655
16.46945935265944,0.9982641359842644,0.9795352684441676,-10.40352079158113
16.94134956659873,0.9982430307965016,0.9787460649906053,-10.69661444620863
17.42676058709538,0.9982268747920597,0.9778591241084429,-10.99707331117668
17.92607981826282,0.9981982555644237,0.9769703398699685,-11.30638147071937
18.43970576428799,0.9981606064142647,0.9760068327049811,-11.62348808357471
18.9680483474756,0.9980904594850504,0.9750868193520982,-11.94990079077874
19.51152923540504,0.9980496283992738,0.9740949170182652,-12.28179041470935
20.07058217746115,0.9980346155927202,0.9730196619856231,-12.62528503795559
20.64565335100755,0.9979922766536214,0.9719073178743622,-12.97788387006226
21.23720171747838,0.9979459786510116,0.9707424966653113,-13.33965006226154
21.8456993886733,0.9978907543862843,0.9695688774504898,-13.71107748373997
22.4716320035475,0.9978698901405714,0.968270611237197,-14.09155742295343
23.1154991157977,0.997780749333935,0.967014006054893,-14.48107989037744
23.77781459255353,0.9977458738133913,0.9655815860305887,-14.88219795868204
24.45910702449223,0.9976672475515279,0.9642008117848888,-15.29370504151316
25.1599201477043,0.9976068754196398,0.9627315235264795,-15.71782269143854
25.88081327764659,0.9975617162045343,0.9611801930318364,-16.1511876586662
26.62236175552905,0.9975109619699052,0.9595867048974076,-16.59605554986044
27.38515740749178,0.9973960115334576,0.9579258668830748,-17.05311172088405
28.16980901693856,0.9973436069693468,0.956139183355066,-17.52321214382732
28.9769428104037,0.9972163958993336,0.9543437344634249,-18.00271169539226
29.80720295734046,0.9971919996174022,0.9523716765253318,-18.49553878402324
30.66125208422937,0.9971100236744129,0.9503636858427839,-19.00306270170502
31.53977180341719,0.9969631356120475,0.9483528947028673,-19.52122298386041
32.44346325710828,0.9969055880108016,0.9461473463402282,-20.05506662607231
33.37304767694269,0.996794758493844,0.9438805235691224,-20.5991661853412
34.32926695960759,0.9966577791034025,0.9415463259865036,-21.15680713756879
35.31288425894125,0.9965348091305706,0.9390448349715453,-21.73293962574388
36.32468459500232,0.9964492322242112,0.9364635565158609,-22.31922447818695
37.3654754805905,0.9963500900384242,0.9337793699726377,-22.92085572394257
38.43608756571837,0.9961914660319343,0.9309646896040955,-23.53816179183167
39.53737530054903,0.9960680359732004,0.9280512707755907,-24.1710281477647
40.67021761732863,0.995927645035939,0.9250153290839811,-24.81825640921232
41.8355186318577,0.9958107538945865,0.9218461314781856,-25.48104527685915
43.03420836506138,0.9956363190983482,0.9185553867538423,-26.1586199407557
44.26724348523474,0.9954843805586309,0.9151006562509101,-26.85315983620042
45.53560807155475,0.9953412486964428,0.911481359758451,-27.56623495778113
46.84031439946904,0.9951352300720852,0.9077716124506413,-28.29346049883975
48.1824037485878,0.9949417014319637,0.9038601423729166,-29.03660472050814
49.56294723372407,0.994766911255369,0.8997908749488608,-29.79922907538439
50.98304665974484,0.9945507937156836,0.8956043340782631,-30.57537931797322
52.44383540091618,0.9943296994923529,0.8912152285628662,-31.37118094290955
53.94647930544358,0.9940895358581144,0.8866795526589615,-32.18336226307072
55.49217762592954,0.993895553999413,0.8819945332334965,-33.0141438308509
57.08216397649108,0.9936489296928472,0.8770534044805475,-33.86198851982485
58.71770731730112,0.9934001080818252,0.8719707278535497,-34.7292840687752
60.40011296733919,0.9931805351926668,0.8666603687736594,-35.61282312684807
62.13072364615982,0.9929066572528815,0.861138666995062,-36.51513843911837
63.91092054551066,0.9926220764323798,0.8554810931983773,-37.43429333528019
65.74212443165452,0.9923556313487304,0.8495711866529011,-38.37253477952821
67.62579677927582,0.9920656924045094,0.8435045350782521,-39.3273493889857
69.56344093787621,0.9917643303610948,0.8371955104464466,-40.30332643407188
71.55660333159055,0.9914192420684048,0.830692558654015,-41.29649387957085
73.60687469338002,0.9910889949703098,0.823964170354106,-42.30780390470724
75.71589133458825,0.9907162377526394,0.8170496110068294,-43.33476644265724
77.88533645087337,0.9904000771003992,0.8098192630248334,-44.38302084780705
80.11694146555782,0.9900259094572104,0.8024526737250371,-45.44648718754655
