Frequency (Hz),Trace Ls (H)
1000.000000000001,0.0001568353525868983
1047.128548050901,0.0001569697002029348
1096.478196143186,0.0001570809157993775
1148.153621496884,0.0001569059749251785
1202.264434617413,0.0001570296630074763
1258.925411794169,0.000157089180099135
1318.256738556409,0.0001569218454112554
1380.384264602885,0.0001568970219170583
1445.43977074593,0.0001568164014414806
1513.56124843621,0.0001573036401905168
1584.893192461114,0.0001570457519935816
1659.586907437563,0.0001569954117356016
1737.800828749376,0.0001567681310243331
1819.700858609984,0.0001568559856396485
1905.46071796325,0.000156892737284779
1995.262314968881,0.0001568533778233311
2089.296130854041,0.0001569011646718248
2187.761623949554,0.0001569135203359933
2290.867652767774,0.000156907324367183
2398.832919019493,0.0001566696186513944
2511.886431509582,0.000156682572655533
2630.267991895385,0.0001567631236003523
2754.228703338169,0.0001567119083953644
2884.031503126609,0.000156494106845194
3019.951720402019,0.0001566847094591599
3162.277660168382,0.0001566752281967159
3311.311214825914,0.0001562119495465426
3467.368504525317,0.000156361723636365
3630.780547701017,0.0001564973259729674
3801.893963205617,0.0001564205572549239
3981.071705534973,0.0001564564502980684
4168.693834703359,0.0001563324933918883
4365.158322401665,0.0001564455381197779
4570.881896148752,0.0001564246194645952
4786.300923226389,0.0001562932880684853
5011.87233627273,0.0001562855962446056
5248.074602497728,0.0001562678701058518
5495.408738576254,0.0001562373029925718
5754.399373371578,0.0001563305444040245
6025.59586074358,0.0001562522998137723
6309.573444801937,0.0001564164711696936
6606.934480075965,0.0001563130792266931
6918.30970918937,0.0001563721804074824
7244.359600749906,0.000156425425956
7585.775750291844,0.0001563502291822203
7943.282347242821,0.0001562966425164749
8317.637711026719,0.0001563769561245529
8709.635899560815,0.000156294291600668
9120.108393559105,0.0001563216066556713
9549.925860214369,0.0001563195684200779
10000,0.0001562341526922631
10471.28548050901,0.0001563024279371622
10964.78196143186,0.0001562963985435325
11481.53621496883,0.0001563229844128147
12022.64434617414,0.0001562529955940004
12589.25411794168,0.00015625813365054
13182.56738556407,0.0001562712248337033
13803.84264602886,0.0001563045923106079
14454.39770745929,0.0001562201972704866
15135.61248436209,0.0001562165975201238
15848.93192461115,0.0001562052332531061
16595.86907437562,0.0001561724050888689
17378.00828749376,0.0001561614493323146
18197.00858609984,0.0001561519667969558
19054.60717963249,0.0001561229523779361
19952.62314968881,0.0001561640656816533
20892.96130854039,0.0001561526081527813
21877.61623949554,0.0001561263208269728
22908.67652767775,0.0001560127624482936
23988.32919019491,0.0001560802518592168
25118.86431509582,0.0001559966171053136
26302.67991895384,0.0001559242085463671
27542.28703338168,0.0001560260722568716
28840.31503126608,0.0001559626477310718
30199.51720402019,0.0001559133018794471
31622.77660168381,0.0001558972480771371
33113.11214825913,0.0001558350305536287
34673.68504525317,0.0001557391557334417
36307.80547701016,0.0001557269313425546
38018.93963205612,0.0001557327604951644
39810.71705534973,0.000155681420313954
41686.93834703357,0.0001557463334204961
43651.58322401661,0.0001557357684374413
45708.81896148752,0.0001557822201001361
47863.00923226388,0.000155618650000509
50118.72336272725,0.0001556201607877245
52480.74602497728,0.0001556990811538438
54954.08738576245,0.0001555705101031158
57543.99373371572,0.0001556740723141203
60255.95860743581,0.0001556347533524881
63095.73444801933,0.0001556422244683841
66069.34480075965,0.0001555065380178893
69183.09709189367,0.0001555923932719813
72443.59600749903,0.0001556740848994204
75857.75750291844,0.0001558730366754545
79432.82347242818,0.0001558910038699226
83176.37711026713,0.0001558947934761614
87096.35899560805,0.000155914512262792
91201.08393559101,0.0001560815970159024
95499.25860214364,0.0001561675809762096
100000,0.0001563331807303024
104712.85480509,0.0001564045653625922
109647.8196143186,0.0001567161743801758
114815.3621496883,0.0001568523682975895
120226.4434617413,0.000157057155254832
125892.5411794167,0.0001572362428643622
131825.6738556407,0.0001574832215725561
138038.4264602886,0.0001579358370875046
144543.9770745928,0.0001583668612732396
151356.1248436209,0.0001587351236081427
158489.3192461114,0.0001592096390691528
165958.6907437561,0.0001597606372478782
173780.0828749376,0.000160275599829306
181970.0858609984,0.0001609173992513272
190546.0717963248,0.0001614613134929204
199526.2314968881,0.0001624855267873189
208929.613085404,0.0001634273828682573
218776.1623949553,0.000164641546865062
229086.7652767773,0.0001664388898554325
239883.2919019491,0.0001674051189368356
251188.6431509582,0.0001689624596580799
263026.7991895382,0.0001710925251623946
275422.8703338167,0.000171995950443801
288403.1503126606,0.0001746661991070613
301995.1720402017,0.0001772006387611585
316227.766016838,0.0001798720046774977
331131.121482591,0.0001831207754795117
346736.8504525317,0.0001855823253920094
363078.0547701015,0.0001912566162712323
380189.3963205612,0.0001951277473714622
398107.1705534974,0.0001999636228346849
416869.3834703353,0.0002052148575773054
436515.832240166,0.0002107206955421822
457088.1896148752,0.0002162610341942368
478630.0923226383,0.0002226498630917812
501187.2336272725,0.0002299434972879926
524807.4602497725,0.0002361385751182601
549540.8738576246,0.0002426550923860923
575439.9373371572,0.0002498419656049892
602559.5860743576,0.0002575997909350326
630957.3444801933,0.0002602743751886829
660693.4480075957,0.0002638705032663793
691830.9709189365,0.0002625543959115223
724435.9600749902,0.0002568483944442833
758577.5750291836,0.0002364960984279816
794328.2347242816,0.0001968159309796581
831763.7711026713,0.0001410693655412966
870963.5899560805,6.607617707200361e-05
912010.8393559098,-5.81743737015706e-06
954992.5860214357,-5.929467479353265e-05
1000000,-9.693598104912229e-05
