Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Ls (H)
5000,87.82335710007,3.191063200221083,83.95795607531505,0.002672464744255723
5077.344962165402,87.83263109752244,3.223297454755439,85.16927716231702,0.002669724346278296
5155.886372965276,87.82697711840061,3.282616788302685,86.51077804055902,0.002670465747281799
5235.642740254498,87.86298847511952,3.275397165677957,87.77650500007648,0.002668261634943711
5316.632858185805,87.86113709449037,3.33076618536969,89.18299008644914,0.002669718615254781
5398.875811638548,87.86782716821033,3.368237601500861,90.46954498935922,0.002666976568212848
5482.390980715925,87.82205234429958,3.493387597463132,91.85709818381841,0.002666630542304583
5567.198045311807,87.91945468645335,3.386063592674522,93.2072339083989,0.002664606483855267
5653.316989748195,87.92563084188085,3.428624729321077,94.66004952224993,0.002664915981557355
5740.768107484415,87.90095490981793,3.521325367312537,96.07550239309555,0.002663561883986078
5829.572005899158,87.9402790858687,3.508996195523501,97.56858608207318,0.002663750057420196
5919.74961114651,87.92755045652228,3.582848868558891,99.00968877454427,0.002661916874454923
6011.322173087065,87.9756765679554,3.55169497001804,100.4841653956379,0.002660405009862664
6104.311270295356,87.91447475036031,3.71419046593951,101.9951431097221,0.002659273172433114
6198.738815144722,87.94200917411951,3.722992940049639,103.60592332195,0.00266012092492128
6294.627058970837,87.96208350195539,3.742212403052859,105.167483952975,0.002659081271510656
6391.998597315118,87.97573635972493,3.770157662390329,106.6680412216318,0.002655937070681404
6490.876375249245,88.02743068168077,3.730716296415166,108.3205731297087,0.002655997997108409
6591.283692782035,88.01962300288548,3.802188612519441,109.9601745599656,0.00265512852126678
6693.244210349966,88.02288715391964,3.855184594810555,111.6770483480755,0.002655506614718225
6796.781954392628,88.01625619955504,3.925292161083416,113.3275376363693,0.002653702579292581
6901.921323014425,88.01835725452679,3.981932279258455,115.0847884402441,0.002653799152110616
7008.687091733851,88.05156841597604,3.97382742973893,116.8097291640319,0.002652543272991531
7117.104419321709,88.03244744058179,4.070689199641295,118.4932123277258,0.002649782742205768
7227.198853729638,88.06026366576009,4.074030046581671,120.2924009306026,0.002649038806316718
7338.996338110347,88.07004059809547,4.116011237396905,122.1480994432997,0.00264892812587056
7452.52321693098,88.10271499850393,4.105072639302718,123.9230591663034,0.002646481849875901
7567.80624218104,88.08233144848214,4.214232171477187,125.8651025891257,0.002647009265138722
7684.872579676357,88.10315190754115,4.231058255830387,127.7557273951142,0.002645841594954513
7803.749815460557,88.14048980865178,4.20911285519719,129.6468954536259,0.002644106327842978
7924.465962305567,88.14910591274119,4.253307278134886,131.6184329733453,0.002643424088053325
8047.049466312674,88.15883472829894,4.295854646391044,133.6379832686578,0.002643098655113011
8171.529213615689,88.14284480877728,4.398679467188209,135.6577531558806,0.002642173994498306
8297.934537187803,88.1798994755933,4.376912814582012,137.7364968428612,0.00264179528272488
8426.295223753757,88.17652066752851,4.450384424322032,139.7888881170904,0.002640317238166233
8556.641520808906,88.16531016383907,4.546183594942851,141.9248601584725,0.002639825799282932
8689.004143746877,88.19943804034713,4.529614041156586,144.0896414764812,0.002639264328792455
8823.414283097502,88.22565970853677,4.531515895053735,146.2818222705463,0.00263860160612049
8959.903611876669,88.26616877257146,4.493730300561794,148.4534249403677,0.002636981090607116
9098.504293049918,88.27458708865768,4.54128849762868,150.7569602111899,0.002637105468142401
9239.248987111454,88.24932255447081,4.675241509813465,152.9626370546188,0.002634928426495973
9382.170859780426,88.28100233407332,4.661243941727575,155.3169461233271,0.002634727089381061
9527.303589816236,88.28215380269575,4.728263822913614,157.6557792403393,0.002633661910377791
9674.681376954761,88.28017406572238,4.80549609050763,160.0463989006954,0.002632869705639926
9824.338949967338,88.32734879756104,4.745313918478911,162.5020309455224,0.002632543687587042
9976.311574844398,88.31741661896204,4.84616997437123,164.9756354232913,0.002631903351289701
10130.63506310572,88.33858077491695,4.857941596611585,167.4842382060197,0.002631221461875133
10287.3457802392,88.34886459696763,4.901081317323454,170.0245390454969,0.002630440000178803
10446.4806542702,88.37407871687121,4.90209426129105,172.6983445077853,0.002631105738080869
10608.07718446342,88.37725005555546,4.965583478305516,175.2770968788239,0.002629714687589058
10772.17345015942,88.41009676160323,4.937279494814966,177.8804260839172,0.002628118570642675
10938.80811974776,88.39238917089766,5.068009793666388,180.5781364352999,0.002627334048955178
11108.02045977906,88.41858118685643,5.059321972521153,183.2558074799041,0.002625676439499787
11279.85034421788,88.45132955544037,5.031277303647894,186.0955958594535,0.002625747067987126
11454.33826383886,88.43269028798183,5.168319693637651,188.8899422197964,0.002624574838996217
11631.52533576813,88.45363878461011,5.177515548244359,191.7907376031893,0.002624285555646123
11811.45331317231,88.467943606972,5.209879755190316,194.7924218213557,0.002624755479932029
11994.16459509745,88.48109359078086,5.241846142541174,197.6851894886609,0.00262315685546274
12179.70223646014,88.5300943660598,5.149086386551777,200.6633518977472,0.00262211372099987
12368.10995819311,88.53106122756378,5.225475106383856,203.7743672419166,0.002622203225197737
12559.4321575479,88.53694625890141,5.284023388970516,206.8867501742171,0.002621698858467607
12753.7139185568,88.55165692123528,5.308115749018245,209.9418649595027,0.002619886707794137
12951.00102265662,88.57758094285441,5.296331532835783,213.295158577853,0.002621185711115904
13151.33995947691,88.59241859259588,5.319399783163769,216.4832798880966,0.002619838297626008
13354.77793779493,88.58629164118013,5.424158276307881,219.7895374117433,0.002619331559228893
13561.36289666014,88.61740725327606,5.385976579089924,223.1559708274193,0.002618938532085256
13771.14351669083,88.62786020645237,5.427405166154942,226.5862121670042,0.002618687087179043
